epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.1887,1.05817,3.00855,1.28366,0.00672,0.96401,0.27488,0.17454,0.99002,3.15589,1.16984,0.00020006,0.00020006,0.00020006
2,34.5046,1.10758,1.98827,1.21202,0.00978,0.95607,0.42806,0.24697,0.98726,2.89337,1.12171,0.000373383,0.000373383,0.000373383
3,43.7962,1.07947,1.67901,1.22637,0.49672,0.19366,0.40317,0.24685,1.06134,2.64439,1.23778,0.000504266,0.000504266,0.000504266
4,52.9973,1.05886,1.49351,1.22642,0.78635,0.34153,0.6085,0.35425,1.17049,2.31972,1.28007,0.000592706,0.000592706,0.000592706
5,62.2715,1.04927,1.36049,1.18957,0.58798,0.5519,0.66757,0.4373,1.06912,1.80061,1.19026,0.000638706,0.000638706,0.000638706
6,71.3966,0.98406,1.31189,1.15353,0.57361,0.53682,0.63361,0.4084,1.12246,1.84909,1.22495,0.000642264,0.000642264,0.000642264
7,80.5359,0.94579,1.20066,1.12505,0.75626,0.6711,0.75537,0.51941,1.13646,1.66223,1.22062,0.000580174,0.000580174,0.000580174
8,89.6542,0.95267,1.19127,1.12574,0.83042,0.64324,0.75172,0.52514,1.02688,1.62973,1.17402,0.000438703,0.000438703,0.000438703
9,98.7965,0.93013,1.1464,1.10489,0.82395,0.71026,0.79785,0.5755,0.97,1.33723,1.12646,0.000297232,0.000297232,0.000297232
10,108.16,0.89305,1.10529,1.0895,0.83096,0.75513,0.8331,0.60963,0.955,1.20658,1.12933,0.000155761,0.000155761,0.000155761
